iter	Passed	Remaining
0	0	285
1	1	286
2	1	286
3	2	285
4	3	286
5	4	290
6	4	288
7	5	287
8	6	286
9	6	292
10	7	293
11	8	293
12	8	292
13	9	291
14	10	289
15	10	288
16	11	287
17	12	286
18	12	285
19	13	284
20	14	284
21	15	297
22	16	295
23	17	293
24	17	291
25	18	290
26	19	289
27	19	288
28	20	287
29	21	285
30	21	284
31	22	284
32	23	283
33	23	282
34	24	282
35	25	281
36	25	280
37	26	280
38	27	279
39	27	278
40	28	277
41	29	276
42	29	275
43	30	273
44	31	272
45	31	271
46	32	270
47	33	269
48	33	268
49	34	267
50	35	266
51	35	265
52	36	264
53	37	263
54	37	262
55	38	261
56	39	260
57	39	259
58	40	259
59	40	258
60	41	257
61	42	256
62	42	255
63	43	254
64	44	254
65	44	253
66	45	252
67	46	251
68	46	251
69	47	250
70	48	249
71	48	248
72	49	247
73	50	247
74	50	246
75	51	245
76	52	244
77	52	243
78	53	243
79	54	242
80	54	241
81	55	240
82	56	240
83	56	239
84	57	238
85	58	238
86	58	237
87	59	236
88	60	235
89	60	235
90	61	234
91	62	233
92	62	232
93	63	232
94	64	231
95	64	230
96	65	229
97	66	229
98	66	228
99	67	227
100	68	227
101	68	226
102	69	225
103	70	224
104	70	224
105	71	223
106	72	222
107	72	222
108	73	221
109	74	220
110	74	220
111	75	219
112	76	218
113	76	217
114	77	217
115	78	216
116	78	215
117	79	215
118	80	214
119	80	213
120	81	213
121	82	212
122	82	211
123	83	211
124	84	210
125	84	209
126	85	209
127	86	208
128	86	207
129	87	207
130	88	206
131	88	206
132	89	205
133	90	204
134	90	203
135	91	203
136	92	202
137	92	201
138	93	201
139	94	200
140	94	199
141	95	199
142	96	198
143	96	197
144	97	197
145	98	196
146	98	195
147	99	194
148	100	194
149	100	193
150	101	193
151	102	192
152	102	191
153	103	190
154	104	190
155	104	189
156	105	189
157	106	188
158	106	187
159	107	186
160	108	186
161	108	185
162	109	184
163	110	183
164	110	183
165	111	182
166	112	181
167	112	181
168	113	180
169	114	179
170	114	179
171	115	178
172	116	178
173	116	177
174	117	176
175	118	176
176	119	175
177	119	174
178	120	174
179	121	173
180	121	172
181	122	171
182	122	171
183	123	170
184	124	169
185	124	169
186	125	168
187	126	167
188	126	167
189	127	166
190	128	165
191	128	165
192	129	164
193	130	163
194	130	163
195	131	162
196	132	161
197	132	161
198	133	160
199	134	159
200	134	159
201	135	158
202	136	157
203	136	157
204	137	156
205	138	155
206	138	155
207	139	154
208	140	153
209	141	153
210	141	152
211	142	151
212	143	151
213	143	150
214	144	149
215	145	149
216	145	148
217	146	148
218	147	147
219	148	146
220	148	145
221	149	145
222	149	144
223	150	143
224	151	143
225	151	142
226	152	141
227	153	141
228	153	140
229	154	139
230	155	139
231	155	138
232	156	137
233	157	137
234	157	136
235	158	135
236	159	135
237	159	134
238	160	133
239	161	133
240	161	132
241	162	131
242	163	131
243	163	130
244	164	129
245	165	129
246	165	128
247	166	127
248	167	126
249	167	126
250	168	125
251	169	125
252	170	124
253	170	123
254	171	123
255	172	122
256	172	121
257	173	120
258	174	120
259	174	119
260	175	118
261	176	118
262	176	117
263	177	116
264	178	116
265	178	115
266	179	114
267	180	114
268	180	113
269	181	112
270	182	112
271	182	111
272	183	110
273	184	110
274	184	109
275	185	108
276	186	108
277	186	107
278	187	106
279	188	106
280	188	105
281	189	104
282	190	104
283	191	103
284	191	102
285	192	102
286	193	101
287	193	100
288	194	100
289	195	99
290	195	98
291	196	98
292	197	97
293	197	96
294	198	96
295	199	95
296	199	94
297	200	94
298	201	93
299	201	92
300	202	92
301	203	91
302	203	90
303	204	90
304	205	89
305	205	88
306	206	88
307	207	87
308	207	86
309	208	86
310	209	85
311	209	84
312	210	84
313	211	83
314	211	82
315	212	82
316	213	81
317	214	80
318	214	80
319	215	79
320	215	78
321	216	78
322	217	77
323	217	76
324	218	75
325	219	75
326	219	74
327	220	73
328	221	73
329	221	72
330	222	71
331	223	71
332	223	70
333	224	69
334	225	69
335	225	68
336	226	67
337	227	67
338	228	66
339	228	65
340	229	65
341	230	64
342	230	63
343	231	63
344	232	62
345	232	61
346	233	61
347	234	60
348	234	59
349	235	59
350	236	58
351	236	57
352	237	57
353	238	56
354	238	55
355	239	55
356	240	54
357	241	53
358	241	53
359	242	52
360	243	51
361	243	51
362	244	50
363	244	49
364	245	49
365	246	48
366	246	47
367	247	47
368	248	46
369	248	45
370	249	45
371	250	44
372	250	43
373	251	43
374	252	42
375	252	41
376	253	41
377	254	40
378	255	39
379	255	39
380	256	38
381	257	37
382	257	37
383	258	36
384	259	35
385	259	34
386	260	34
387	261	33
388	261	32
389	262	32
390	263	31
391	263	30
392	264	30
393	265	29
394	266	28
395	266	28
396	267	27
397	267	26
398	268	26
399	269	25
400	270	24
401	270	24
402	271	23
403	272	22
404	272	22
405	273	21
406	274	20
407	274	20
408	275	19
409	276	18
410	276	18
411	277	17
412	278	16
413	278	16
414	279	15
415	280	14
416	281	14
417	281	13
418	282	12
419	283	12
420	283	11
421	284	10
422	285	10
423	286	9
424	286	8
425	287	8
426	288	7
427	288	6
428	289	6
429	290	5
430	290	4
431	291	4
432	292	3
433	292	2
434	293	2
435	294	1
436	295	0
437	295	0
